"mz","Intensity"
270.1212,16
271.1055,25.29
271.1779,6
272.1372,3.711
276.1482,6.279
281.096,13.31
283.1193,9.279
285.158,6
286.1171,20.27
288.2004,15.57
297.1524,15.27
298.1147,33
310.1125,17.37
314.1821,14.27
316.1291,21
325.1261,23
327.1527,12
328.1262,19
343.1363,12
354.1796,14
355.1364,38
367.1428,10.56
371.2066,14.02
373.146,16
375.232,12
382.1493,18
384.1935,24
394.1483,11
395.1655,15.02
399.1968,10
412.157,40
428.2244,18.02
430.1671,13
432.2552,19.6
438.2076,21
441.2177,12.02
451.1668,26.32
459.2184,13.27
469.1792,44.54
487.1909,20.54
489.2815,80.27
495.2331,12.04
498.234,16.27
507.2572,15
555.2465,9.036
564.2556,23
572.2781,44.02
576.3105,72
577.3143,11.28
582.2639,48
600.2732,39.02
607.7962,65
608.3023,14.28
616.299,7.711
616.3735,22
621.3127,11.31
631.311,11.64
633.3309,392
634.3323,40.65
639.2844,24.27
657.2964,9.018
699.2891,5.665
700.3202,3.249
708.3115,11
713.3316,5.269
716.4102,5.036
726.3188,15
728.3976,10
744.3293,13
746.4106,92
747.3954,11.02
755.3722,4.655
770.3735,4.655
783.3538,7
785.4122,10
801.3392,7.386
803.4346,128
804.4388,16.3
819.3893,6.287
822.3651,4.018
824.3871,5
829.4067,5.269
840.3901,5
842.4549,15
858.3661,8.566
859.3966,2.082
860.4579,145
861.4604,22
875.362,4.269
882.4241,5.018
899.4686,7.018
900.4384,8.018
903.4422,6
917.4802,145
918.4785,23
927.3979,11.31
946.3849,6.269
956.491,13
974.4999,112
974.5273,10.27
975.5071,16
1017.5229,9.287
1031.5083,14.66
1031.5151,39.02
1040.4886,5
1058.4796,15.28
1070.5404,17.67
1088.5503,32
1088.5508,26.37
1105.4908,3
1119.515,2
1121.5599,2
1145.5616,7
1155.5193,3
1195.5726,17.74
1221.5527,2
1228.6847,30.02
175.118,15
185.1403,4.036
202.0796,11
214.0856,7
228.1541,4.807
259.107,11
268.1086,6.323
271.107,8
281.0851,7
286.1097,10
288.2008,7
297.1432,9.809
298.1314,4
301.1495,7
314.1806,6
316.1214,15.14
327.1579,6.018
328.1318,5
343.1381,6.269
355.1414,20.02
360.1618,4.807
366.1248,5
367.1366,10.07
371.1956,12
373.1472,9
375.2348,5
384.1822,6
394.1554,9.807
395.1707,6.269
410.8892,25
412.1682,9.331
428.2124,8.018
432.2384,6.368
438.1955,6.279
441.2032,11
451.1719,8
468.1988,6
469.1812,8
480.2117,5.269
489.2742,33.02
508.6835,4.287
525.2313,4.269
529.2598,6
544.7838,13
554.2252,7.018
564.2597,15
572.2729,18.35
573.3217,7.153
576.3121,36
582.2657,21.87
589.3395,9.287
595.2656,4.104
598.796,5
600.28,17
615.3167,12
616.3447,37
624.2738,5.287
633.3311,152
634.3289,18
639.291,12
702.436,8
726.306,3.269
743.3789,4.269
746.4179,41
747.3718,4
759.4148,4
768.3956,7
791.3734,3.018
803.4431,44
804.4147,4.018
860.4733,37
917.4805,55
918.4728,8
974.4971,38
975.5066,4.018
991.5519,4
1003.4891,4.269
1031.5243,20.39
1032.5076,5.269
1058.537,5
1088.5414,9
1111.5295,5.368
1127.5314,2
1214.5844,28.57
1455.8408,4.287
1569.7922,4
112.0849,6
120.0797,133.5
129.081,13
136.0737,17
147.0742,7.269
157.0632,9
162.0911,20
175.0949,25.28
189.1032,6
193.0955,6
207.1136,53.61
214.0786,9.018
217.095,32
226.0817,33.29
227.0949,4.239
231.1134,5.269
235.1069,71.27
244.092,22
245.1242,9.305
259.1069,6
262.1276,12
274.1148,7.269
276.1328,7.018
277.1076,7
286.1146,25
290.1154,10
292.1251,6
293.1029,6.279
296.1222,8
304.1288,59
331.1257,13
346.1407,12.29
349.1654,13
389.1754,10.02
391.1641,27
402.8802,42.46
406.1957,22
409.1733,15
442.1825,19.27
446.1762,20.27
450.2049,13
460.1836,12.07
463.2264,47.83
478.1962,27
482.1791,14.38
496.1987,15
501.2146,33
503.2229,19
505.2202,9
507.2263,7.269
515.1904,7
517.1998,10
520.2461,272
535.2124,8.018
551.2117,9
559.2605,5.018
564.2357,5.269
566.1912,5.018
617.3174,6.386
617.8095,13.05
619.6177,5.807
627.2849,5
680.2691,24
683.3115,122
684.3052,5
688.2842,5
690.3537,9.269
692.3371,6
698.2654,5
705.2782,7.054
716.2746,18.88
720.2839,7.036
722.3102,5
723.2994,10
737.297,5.368
740.3313,299.4
773.3384,10
790.409,17
791.3697,5.863
809.3505,21
827.3645,222
837.344,6
861.4371,18.02
878.3835,17
896.385,17
914.3969,158
915.3999,26
931.4662,6
932.4366,3.614
953.4166,4.807
965.4072,17
965.4092,25.8
971.4152,5
983.4205,22.81
983.4213,40
1001.4289,379
1019.4068,6.655
1052.4324,12
1070.4484,37.02
1080.4147,5
1088.4528,146
1088.4557,10.39
1096.3538,4.736
1098.4431,28.59
1181.5289,12.44
1199.5133,51.04
1217.538,43.27
1229.5675,5.018
1231.6583,7.037
1235.5299,662
