"mz","Intensity"
766.3719,6
782.4564,19.1
815.421,20
837.3982,9
844.4554,6
853.3935,15.34
855.4316,20
1015.5665,12.86
1033.5321,13.16
1111.5027,14
1181.5625,18.86
157.1045,8.018
171.1279,9
175.1197,18.27
185.1636,57.87
195.0912,17
201.1091,8.018
213.1591,44
229.1172,9.018
246.1523,29.64
266.1197,10.81
269.1097,11.54
293.2235,8
296.1473,9
329.6797,15
340.1617,10.29
351.1866,9.287
357.1857,17.04
375.2043,22.27
406.4438,9
407.2248,16
412.2159,8.538
416.2428,10.04
440.2648,10.27
444.2543,11.54
446.2626,9
459.2657,9.279
462.255,10.55
472.2541,10
474.2482,9.018
482.2633,11.29
488.2812,11.02
500.3098,7.637
515.3109,9.269
517.2995,9.287
529.2733,8
534.267,26.27
538.2624,8.637
545.3099,34
546.2851,14.32
549.3054,9
550.3022,12.55
561.2979,14
567.3071,10.02
585.3065,13.39
586.3284,16.54
588.3056,15
600.3806,18.64
602.3254,375
616.3452,18.54
628.3657,11
630.36,8
631.2479,9.323
644.3582,13.29
658.3552,12
700.3345,2.26
701.3885,75
711.3881,4.287
712.3528,6.287
714.37,3
715.3976,8
717.3772,3
721.4052,4
776.3595,3
796.426,22.05
816.3962,3
913.4556,2.018
922.4626,3.269
970.3994,2
970.7642,3
971.1921,5.018
975.5174,2.018
976.0329,4
976.4734,3.397
977.0117,1.032
979.8713,2
980.2792,2.368
1005.5221,8.018
1061.5404,10.55
1201.6235,15.17
1220.5736,70.29
120.0803,94
175.1231,17
191.1135,31
197.0797,17.08
223.0987,20.07
233.1652,16
253.1069,22
288.1691,18
293.1335,16.07
297.137,16.07
304.1792,21
318.179,56
325.6917,30.08
332.1178,18
332.6939,38
335.2076,17
372.202,24
375.2081,39
390.2105,166
403.2673,17
410.1952,30.16
410.548,19.59
411.1751,137
431.2366,16
446.2759,93
476.2399,17.19
499.2833,16
503.2905,140
517.3051,89
530.2813,12
531.2877,13.08
557.2734,16
560.3105,12
572.3118,13.11
619.2859,12
636.3848,13
650.354,46
655.2903,12
658.3612,12.07
660.3766,12
664.3791,116
666.3442,16
673.3561,17.07
707.3816,154
708.3481,8.001
709.3114,16
799.4552,9.076
802.4112,16
1071.5858,13.47
1530.9082,8.001
115.0978,18.11
173.1289,302
175.1207,31
201.1242,147
229.1271,25
264.0719,19.61
270.1432,63
288.1533,44
345.227,21.23
360.2126,19
383.2376,24.11
401.2303,55
407.7364,43
416.2663,24
417.1434,25
432.2589,217
490.2844,18
511.2376,13.61
513.2545,12
528.3272,19
545.3419,114.1
549.2559,13
557.2975,18
566.2746,12
602.3578,13
614.3697,24
630.348,18
632.3689,1225
733.3654,12
939.4882,18
1315.6227,12
1340.1768,12
195.0882,21.19
209.0806,73.31
211.0913,47
235.0911,45
237.108,64.07
251.1166,20
253.1095,67.51
271.1294,17.16
293.1329,23.42
327.072,13.08
382.056,20
393.2741,19.49
405.1651,30.23
412.176,13.08
421.8814,43
422.7541,17.47
422.8936,25.07
459.3183,13.08
470.2574,13
490.2974,13
544.2729,20.07
559.2839,17.08
575.7687,12.07
577.2964,12
583.247,12
599.3467,13.08
617.3533,12
675.3213,12.07
714.3955,8
717.3542,9.076
731.3697,21.15
827.3817,8
828.4371,6.358
848.0469,18
848.4474,17
849.2278,13.15
849.3713,13
852.9781,17
856.5628,13
856.9507,13.17
874.4987,8
1039.5947,9.076
1691.1381,48.15
1705.76,30.77
129.1026,13
185.1518,12
199.1777,12
233.1645,57
261.1624,24
277.1472,12
284.1635,18.11
301.1608,12
302.1458,13
319.1641,18
357.4037,25
358.2678,24
360.606,25
362.9472,24
418.2236,37
424.2804,13.61
462.2515,24
530.2887,12
531.3154,25
547.3138,18.11
580.2725,12
588.3354,230
622.3531,74
701.421,37
717.3277,12
757.0563,13.61
847.9873,32.16
908.4558,12
1055.6298,12
120.0763,14
130.0758,10
143.119,12
157.1232,16.07
158.0625,10.54
175.1173,16
185.1389,41
187.1208,12
213.1591,14
214.1203,10.07
215.1224,30
225.1228,10.04
240.1445,12.14
242.1546,22.56
255.1482,21.11
272.1735,40
300.1189,10.04
305.0965,8.538
326.203,13.11
327.1988,16
343.2119,19.14
355.2368,22
382.1743,14.07
384.1966,10.04
401.2202,14
410.1882,16.04
427.2769,26.54
428.9202,8.226
454.2907,10.04
458.2203,24
496.2243,14
500.285,63
503.1719,12.57
520.2704,8.073
529.2737,37
548.252,8.036
567.1736,12.24
572.33,10.54
572.4078,12
579.2912,12.04
585.3568,8.673
591.2996,8
613.3736,30
620.3206,10
627.3185,12
629.3007,18.54
642.3585,105
